"";"Status";"Credit.history";"Purpose";"Savings.account";"Installment.rate";"Personal.status.and.sex";"Number.of.existing.credits";"Job";"Number.of.people";"foreign.worker";"Class"
"1";"<0 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"2";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"3";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";2;"male: single";1;"unskilled - resident";2;"yes";1
"4";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";2;"yes";1
"5";"<0 DM";"delay in paying off in the past";"car (new)";"<100 DM";3;"male: single";2;"skilled employee / official";2;"yes";2
"6";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"unknown/ no savings account";2;"male: single";1;"unskilled - resident";2;"yes";1
"7";"no checking account";"existing credits paid back duly till now";"radio/television";"500-1000 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"8";"0-200 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"9";"no checking account";"existing credits paid back duly till now";"domestic appliances";">=1000 DM";2;"male: divorced/separated";1;"unskilled - resident";1;"yes";1
"10";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: married/widowed";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"11";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"12";"<0 DM";"existing credits paid back duly till now";"business";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"13";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"14";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";2
"15";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"16";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"17";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"18";"<0 DM";"no credits taken/all credits paid back duly";"business";"unknown/ no savings account";2;"male: single";3;"skilled employee / official";1;"yes";1
